Code,Area Team,"Mental and behavioural 
disorders due to use of alcohol","Mental and behavioural 
disorders due to use of opioids","Mental and behavioural disorders due to use of 
cannabinoids","Mental and behavioural disorders due to 
use of sedatives or hypnotics","Mental and behavioural disorders 
due to use of cocaine","Mental and behavioural disorders due to 
use of other stimulants, including caffeine","Mental and behavioural disorders
 due to use of hallucinogens","Mental and behavioural disorders
 due to use of tobacco","Mental and behavioural disorders 
due to use of volatile solvents","Mental and behavioural disorders due to 
multiple drug use and use of
other psychoactive substances",Anno
Q64,"BATH, GLOUCESTERSHIRE, SWINDON AND WILTSHIRE AREA TEAM",950,25,30.0,7.0,10.0,15.0,10.0,20.0,0.0,115,2017
Q65,"BRISTOL, NORTH SOMERSET, SOMERSET AND SOUTH GLOUCESTERSHIRE AREA TEAM",1030,45,40.0,15.0,25.0,15.0,7.0,20.0,0.0,70,2017
Q66,"DEVON, CORNWALL AND ISLES OF SCILLY AREA TEAM",1005,35,15.0,10.0,10.0,25.0,7.0,7.0,0.0,70,2017
Q67,KENT AND MEDWAY AREA TEAM,755,10,7.0,7.0,10.0,7.0,7.0,15.0,0.0,30,2017
Q68,SURREY AND SUSSEX AREA TEAM,1640,30,35.0,15.0,40.0,10.0,10.0,20.0,0.0,105,2017
Q69,THAMES VALLEY AREA TEAM,970,25,40.0,7.0,25.0,10.0,7.0,10.0,7.0,60,2017
Q70,WESSEX AREA TEAM,1700,50,55.0,10.0,35.0,20.0,7.0,30.0,0.0,100,2017
Q71,LONDON AREA TEAM,5210,155,310.0,35.0,145.0,115.0,15.0,125.0,7.0,625,2017
Y,Unknown,865,15,10.0,10.0,20.0,15.0,7.0,7.0,7.0,40,2017
7,England total,39239,1236,1280.0,202.0,764.0,604.0,133.0,495.0,15.0,3670,2017
